Code,Airport Name
BJI,Bemidji MN
BJL,Banjul Gambia
BJM,Bujumbura Burundi
BJR,Baharpar Ethiopia
BJV,Bodrum Turkey
BJX,Guanajuato Mexico
BJX,Leon Mexico
BJZ,Badajcz Spain
BKA,Moscow Russia - Bykovo
BKC,Buckland AK
BKI,Kota Kinabalu Malaysia
BKK,Bangkok Thailand
BKO,Bamako Mali
BKQ,Blackall Australia
BKS,Bengkulu Indonesia
BKW,Beckley WV
BKX,Brookings SD
BKZ,Bukoba Malaysia
BLA,Barcelona Venezuela
BLE,Borlange Sweden
BLF,Bluefield WV
BLF,Princeton WV
BLG,Belaga Mozambique
BLI,Bellingham WA
BLJ,Batna Algeria
BLK,Blackpool United Kingdom
BLL,Billund Denmark
BLR,Bangalore India
BLT,Blackwater Australia
BLV,Belleville IL
BLZ,Blantyre Malawi
BMA,Stockholm Sweden - Bromma
BMD,Belo Madagascar
BME,Broome Australia
BMI,Bloomington IL
BMK,Borkum Germany
BMO,Bhamo Myanmar
BMP,Brampton Island Australia
BMU,Bima Indonesia
BMV,Banmethuot Viet Nam - Phung-Doc
BMY,Belep Island New Caledonia
BNA,Nashville TN
BND,Bandar Abbas Iran
BNE,Brisbane Queensland Australia
BNJ,Bonn Germany
BNK,Ballina Australia
BNN,Bronnoysund Norway
BNP,Bannu Pakistan
BNS,Barinas Venezuela
BNX,Banja Luka Bosnia Herzegovina
BNY,Bellona Solomon Islands
BOA,Boma Congo
BOB,Bora Bora French Polynesia
BOC,Bocas Del Toro Panama
BOD,Bordeaux France
BOG,Bogota Colombia
BOH,Bournemouth United Kingdom
BOI,Boise ID
BOJ,Bourgas Bulgaria
BOM,Bombay India
BOM,Mumbai India
BON,Bonaire Netherlands Antilles
BOO,Bodo Norway
BOS,Boston MA
BOV,Boang Papua New Guinea
BOX,Borroloola Australia
BPF,Batuna Solomon Islands
BPN,Balikpapan Indonesia
BPS,Porto Seguro Brazil
BPT,Beaumont/Port Arthur TX
BPT,Port Arthur/Beaumont TX
BPX,Bangda China
BPY,Besalampy Madagascar
BQH,London United Kingdom - Biggin Hill
BQK,Brunswick GA
BQL,Boulia Australia
BQN,Aguadilla Puerto Rico
BQS,Blagoveschensk Russia
BRA,Barreiras Brazil
BRC,San Carlos Argentina
BRD,Brainerd MN
BRE,Bremen Germany
BRI,Bari Italy
BRK,Bourke Australia
BRL,Burlington IA
BRM,Barquisimeto Venezuela
BRN,Berne Switzerland - Belp Airport
BRO,Brownsville TX
BRQ,Brno Czech Republic - Turany
BRR,Barra United Kingdom
BRS,Bristol United Kingdom
BRT,Bathurst Island Australia
BRU,Brussels Belgium - National
BRW,Barrow AK
BSA,Bossaro Somalia
BSB,Brasilia DF Brazil
BSC,Bahia Solano Colombia
BSD,Baoshan China
BSK,Biskra Algeria
BSL,Basel Switzerland
BSO,Basco Philippines
BTH,Batam Indonesia
BTI,Barter Island AK
BTJ,Banda Aceh Indonesia
BTK,Bratsk Russia
BTM,Butte MT
BTR,Baton Rouge LA
BTS,Bratislava Slovakia
BTT,Bettles AK
BTU,Bintulu Malaysia
BTV,Burlington VT
BUA,Buka Papua New Guinea
BUC,Burketown Australia
BUD,Budapest Hungary
BUF,Buffalo NY
BUI,Bokondini Indonesia
BUO,Burao Somalia
BUQ,Bulawayo Zimbabwe
BUR,Burbank CA
BUS,Batumi Georgia
BUZ,Bashehr Iran
BVA,Paris France - Beauvais-Tille
